ID,Env + Staple,Wet Mass + Env,Wet Mass Extract,Dry Mass + Env,Dry Mass,Water Mass,Dry Lean + Env,Dry Lean Mass,DryFatMass,%Water,%Dry Lean,RelDryFat
TWA14,0.6101,0.7359,0.1258,0.6777,0.0676,0.0582,0.6762,0.0661,0.0015,46.26391097,97.78106509,2.218934911
PCD55,0.6128,0.8438,0.231,0.7244,0.1116,0.1194,0.7224,0.1096,0.002,51.68831169,98.2078853,1.792114695
PCD4,0.6029,0.8925,0.2896,0.7495,0.1466,0.143,0.7308,0.1279,0.0187,49.37845304,87.24420191,12.75579809
PCD53,0.6121,0.8352,0.2231,0.7054,0.0933,0.1298,0.7015,0.0894,0.0039,58.18018826,95.81993569,4.180064309
PCD15,0.6191,0.8848,0.2657,0.7331,0.114,0.1517,0.7106,0.0915,0.0225,57.09446744,80.26315789,19.73684211
PCD90,0.6106,0.9128,0.3022,0.7399,0.1293,0.1729,0.7269,0.1163,0.013,57.21376572,89.94586234,10.05413766
PCD44,0.6052,0.8855,0.2803,0.7354,0.1302,0.1501,0.7224,0.1172,0.013,53.54976811,90.01536098,9.984639017
PCD52,0.6081,0.8113,0.2032,0.6703,0.0622,0.141,0.6694,0.0613,0.0009,69.38976378,98.55305466,1.446945338
PCD10,0.6128,0.8322,0.2194,0.7112,0.0984,0.121,0.7035,0.0907,0.0077,55.15041021,92.17479675,7.825203252
PCD71,0.5945,0.9737,0.3792,0.767,0.1725,0.2067,0.7401,0.1456,0.0269,54.50949367,84.4057971,15.5942029
PCD41,0.6019,0.8905,0.2886,0.7248,0.1229,0.1657,0.7236,0.1217,0.0012,57.41510742,99.02359642,0.97640358
PCD78,0.5732,0.7605,0.1873,0.663,0.0898,0.0975,0.6617,0.0885,0.0013,52.05552589,98.55233853,1.44766147
PCD77,0.5988,0.7895,0.1907,0.6775,0.0787,0.112,0.6743,0.0755,0.0032,58.73099109,95.9339263,4.066073698
PCD20,0.6012,0.8562,0.255,0.7181,0.1169,0.1381,0.7034,0.1022,0.0147,54.15686275,87.4251497,12.5748503
Jacob4,0.584,0.8816,0.2976,0.7369,0.1529,0.1447,0.7133,0.1293,0.0236,48.62231183,84.56507521,15.43492479
VH21,0.5881,0.8893,0.3012,0.7064,0.1183,0.1829,0.7016,0.1135,0.0048,60.72377158,95.94251902,4.057480981
VH3,0.5886,0.8552,0.2666,0.7136,0.125,0.1416,0.6873,0.0987,0.0263,53.11327832,78.96,21.04
VH25,0.5672,1.0365,0.4693,0.7688,0.2016,0.2677,0.7065,0.1393,0.0623,57.04240358,69.09722222,30.90277778
PCD82,0.602,0.7662,0.1642,0.6724,0.0704,0.0938,0.6719,0.0699,0.0005,57.12545676,99.28977273,0.710227273
VH1,0.5794,0.8635,0.2841,0.7112,0.1318,0.1523,0.6919,0.1125,0.0193,53.60788455,85.35660091,14.64339909
VH20,0.6026,0.9065,0.3039,0.7373,0.1347,0.1692,0.7262,0.1236,0.0111,55.67620928,91.75946548,8.240534521
VH10,0.5869,0.8857,0.2988,0.7347,0.1478,0.151,0.7191,0.1322,0.0156,50.53547523,89.44519621,10.55480379
VH27,0.6009,0.9771,0.3762,0.7992,0.1983,0.1779,0.7369,0.136,0.0623,47.28867624,68.58295512,31.41704488
VH5,0.5778,0.8364,0.2586,0.7097,0.1319,0.1267,0.7036,0.1258,0.0061,48.99458623,95.37528431,4.624715694
VH12,0.5949,0.8362,0.2413,0.7174,0.1225,0.1188,0.7107,0.1158,0.0067,49.23331952,94.53061224,5.469387755
VH13,0.5855,0.9322,0.3467,0.7481,0.1626,0.1841,0.7179,0.1324,0.0302,53.1006634,81.42681427,18.57318573
VH26,0.5905,0.8691,0.2786,0.7188,0.1283,0.1503,0.7129,0.1224,0.0059,53.94831299,95.40140296,4.598597038
VH14,0.5834,0.9117,0.3283,0.7126,0.1292,0.1991,0.7041,0.1207,0.0085,60.64575084,93.42105263,6.578947368
VH22,0.5971,0.8418,0.2447,0.7011,0.104,0.1407,0.6996,0.1025,0.0015,57.49897834,98.55769231,1.442307692
VH16,0.5923,0.8378,0.2455,0.6941,0.1018,0.1437,0.6934,0.1011,0.0007,58.53360489,99.31237721,0.68762279
VH7,0.6021,0.8942,0.2921,0.7069,0.1048,0.1873,0.7063,0.1042,0.0006,64.12187607,99.42748092,0.572519084
VH18,0.5809,0.8393,0.2584,0.6946,0.1137,0.1447,0.6838,0.1029,0.0108,55.99845201,90.50131926,9.498680739
VH24,0.5899,0.9863,0.3964,0.736,0.1461,0.2503,0.7273,0.1374,0.0087,63.14328961,94.04517454,5.954825462
VH19,0.5885,0.8545,0.266,0.7084,0.1199,0.1461,0.7057,0.1172,0.0027,54.92481203,97.74812344,2.251876564
