Species,FlowerID,Diameter,Height,ExpLoc,AreaType,Origin
SolAlt,SolAlt1,99.9,122.4,Field,CircHeight,Field
SolAlt,SolAlt2,230,250,Field,CircHeight,Field
SolAlt,SolAlt3,114.2,115,Field,CircHeight,Field
SolAlt,SolAlt4,136.4,110,Field,CircHeight,Field
EchPur,EchPur1,100.7,32.2,GH,CircHeight,NVK
EchPur,EchPur2,82.6,22.3,GH,CircHeight,NVK
EchPur,EchPur3,93.3,18.2,GH,CircHeight,NVK
SolAlt,SolAlt5,98.2,137,GH,CircHeight,TransField
SolAlt,SolAlt6,139,149.3,GH,CircHeight,TransField
SolAlt,SolAlt7,220,230,GH,CircHeight,TransField
RudHir,RudHir1,71.4,24.5,GH,CircHeight,NVK
RudHir,RudHir2,57.1,10.6,GH,CircHeight,NVK
RudHir,RudHir3,44.7,12.3,GH,CircHeight,NVK
SymEri,SymEri1,10.4,NA,GH,Circular,NVK
SymEri,SymEri2,12.8,NA,GH,Circular,NVK
SymEri,SymEri3,12.1,NA,GH,Circular,NVK
HelHel,HelHel1,71.8,9.7,GH,CircHeight,AgCan
HelHel,HelHel2,74.4,12.1,GH,CircHeight,AgCan
HelHel,HelHel3,60.5,12.2,GH,CircHeight,AgCan
BudDav,BudDav1,36.5,109.8,GH,CircHeight,NVK
BudDav,BudDav2,25,110.9,GH,CircHeight,NVK
BudDav,BudDav3,30.5,84.7,GH,CircHeight,NVK
EutMac,EutMac1,355,419,Field,CircHeight,Field
EutMac,EutMac2,375,420,Field,CircHeight,Field
EutMac,EutMac3,280,200,Field,CircHeight,Field
EutMac,EutMac4,270,230,Field,CircHeight,Field
EutMac,EutMac5,520,460,Field,CircHeight,Field
