Site,Couple,ID,Sex,Cohort,Plant,ExpLoc,NumButterflies,EnclCol,EnclID,FlowerHeads,EmergDate,Weight,Feeding,NectarVol,Fat,Forewing,Notes
NA,PCD,PCD52,F,A,HelHel,GH,1,Black,,17,234,0.4322,Y,,,,Feeding day 2
NA,PCD,PCD52,F,A,HelHel,GH,1,Black,,17,234,0.2538,Y,,,,Feeding day 2
NA,PCD,PCD52,F,A,HelHel,GH,1,Black,,17,234,0.2998,Y,,,,Feeding day 2
VH,NA,VH23,M,A,HelHel,GH,1,Black,,20,234,0.6247,N,,,,"BUTTERFLY DEAD ON D7, weight is of dead butterfly, looked freshly dead ish"
VH,NA,VH23,M,A,HelHel,GH,1,Black,,20,234,0.3588,N,,,,"BUTTERFLY DEAD ON D7, weight is of dead butterfly, looked freshly dead ish"
VH,NA,VH23,M,A,HelHel,GH,1,Black,,20,234,0.3129,N,,,,"BUTTERFLY DEAD ON D7, weight is of dead butterfly, looked freshly dead ish"
NA,PCD,PCD55,F,A,HelHel,GH,1,Black,,20,235,0.5427,Y,,,,Feeding days 5+6
NA,PCD,PCD55,F,A,HelHel,GH,1,Black,,20,235,0.3795,Y,,,,Feeding days 5+6
NA,PCD,PCD55,F,A,HelHel,GH,1,Black,,20,235,0.343,Y,,,,Feeding days 5+6
NA,TWA,TWA21,F,A,HelHel,GH,1,Black,,12,235,0.4702,Y,,,,Feeding days 6+7
NA,TWA,TWA21,F,A,HelHel,GH,1,Black,,12,235,0.3008,Y,,,,Feeding days 6+7
NA,TWA,TWA21,F,A,HelHel,GH,1,Black,,12,235,0.297,Y,,,,Feeding days 6+7
NA,MVD,MVD4,F,A,HelHel,GH,1,White,,20,235,0.4989,Y,,,,"Feeding days 6+7, D7 wing tip damaged"
NA,MVD,MVD4,F,A,HelHel,GH,1,White,,20,235,0.2606,Y,,,,"Feeding days 6+7, D7 wing tip damaged"
NA,MVD,MVD4,F,A,HelHel,GH,1,White,,20,235,0.3316,Y,,,,"Feeding days 6+7, D7 wing tip damaged"
NA,MVD,MVD49,M,B,HelHel,GH,1,Black,,41,241,0.4925,N,,,,"Found dying d7, forewing tattered significantly (major portion broken)"
NA,MVD,MVD49,M,B,HelHel,GH,1,Black,,41,241,0.4215,N,,,,"Found dying d7, forewing tattered significantly (major portion broken)"
NA,MVD,MVD49,M,B,HelHel,GH,1,Black,,41,241,0.3126,N,,,,"Found dying d7, forewing tattered significantly (major portion broken)"
NA,MVD,MVD49,M,B,HelHel,GH,1,Black,,41,241,0.2615,N,,,,"Found dying d7, forewing tattered significantly (major portion broken)"
VH,NA,VH12,F,B,HelHel,GH,1,Black,,30,241,0.5895,N,,,,
VH,NA,VH12,F,B,HelHel,GH,1,Black,,30,241,0.4892,N,,,,
VH,NA,VH12,F,B,HelHel,GH,1,Black,,30,241,0.3855,N,,,,
VH,NA,VH12,F,B,HelHel,GH,1,Black,,30,241,0.3186,N,,,,
VH,NA,VH16,F,B,HelHel,GH,1,Black,,20,242,0.5292,N,,,,"D5 Fed when placed on flowers, no natural feeding observed"
VH,NA,VH16,F,B,HelHel,GH,1,Black,,20,242,0.4607,N,,,,"D5 Fed when placed on flowers, no natural feeding observed"
VH,NA,VH16,F,B,HelHel,GH,1,Black,,20,242,0.3149,N,,,,"D5 Fed when placed on flowers, no natural feeding observed"
VH,NA,VH16,F,B,HelHel,GH,1,Black,,20,242,0.3236,N,,,,"D5 Fed when placed on flowers, no natural feeding observed"
VH,NA,VH5,F,B,HelHel,GH,1,White,,31,243,0.6431,N,,,,
VH,NA,VH5,F,B,HelHel,GH,1,White,,31,243,0.5376,N,,,,
VH,NA,VH5,F,B,HelHel,GH,1,White,,31,243,0.3952,N,,,,
VH,NA,VH5,F,B,HelHel,GH,1,White,,31,243,0.3329,N,,,,
NA,PCD,PCD20,F,A,SymEri,GH,1,Black,,148,232,0.5,N,,,,
NA,PCD,PCD20,F,A,SymEri,GH,1,Black,,148,232,0.3922,N,,,,
NA,PCD,PCD20,F,A,SymEri,GH,1,Black,,148,232,0.3812,N,,,,
NA,TWA,TWA65,F,A,SymEri,GH,1,Black,,282,234,0.678,N,,,,"Fed when placed on flower, no natural feeding observed, D7 forewing tip broken"
