"","Plant","ExpLoc","ID","Site","Couple","Sex","Cohort","NumButterflies","EnclCol","EnclID","FlowerHeads","EmergDate","DateWeighed","TrialDay","Weight","OrigWeight","Feeding","Notes","ForewingLength","ForewingDamage","SurfaceArea","TotalSA"
"1","BudDav","GH","Jacob5",NA,"Jacob","M","A",1,"Black",NA,5,239,240,1,0.4382,0.512,"N","",47,"N",105.614323627769,528.071618138847
"2","BudDav","GH","Jacob5",NA,"Jacob","M","A",1,"Black",NA,5,239,246,7,0.3193,0.512,"N","",47,"N",105.614323627769,528.071618138847
"3","BudDav","GH","VH24","VH",NA,"F","A",1,"Black",NA,27,251,256,5,0.4484,NA,"","",50,"N",105.614323627769,2851.58673794978
"4","BudDav","GH","Jacob5",NA,"Jacob","M","A",1,"Black",NA,5,239,244,5,0.3633,0.512,"N","",47,"N",105.614323627769,528.071618138847
"5","BudDav","GH","TWA46",NA,"TWA","M","A",1,"Black",NA,20,234,239,5,0.4146,0.7234,"Y","",50,"N",105.614323627769,2112.28647255539
"6","BudDav","GH","PCD41",NA,"PCD","F","A",1,"Black",NA,15,234,239,5,0.4254,0.6469,"Y","",52,"N",105.614323627769,1584.21485441654
"7","BudDav","GH","TWA46",NA,"TWA","M","A",1,"Black",NA,20,234,241,7,0.4203,0.7234,"Y","",50,"N",105.614323627769,2112.28647255539
"8","BudDav","GH","PCD41",NA,"PCD","F","A",1,"Black",NA,15,234,234,0,0.6469,0.6469,"Y","",52,"N",105.614323627769,1584.21485441654
"9","BudDav","GH","PCD41",NA,"PCD","F","A",1,"Black",NA,15,234,241,7,0.4028,0.6469,"Y","",52,"N",105.614323627769,1584.21485441654
"10","BudDav","GH","PCD78",NA,"PCD","F","A",1,"Black",NA,14,234,234,0,0.6128,0.6128,"Y","",48,"N",105.614323627769,1478.60053078877
"11","BudDav","GH","Jacob12",NA,"Jacob","M","A",1,"White",NA,4,235,240,5,0.3991,0.6428,"Y","",49,"N",105.614323627769,422.457294511078
"12","BudDav","GH","TWA46",NA,"TWA","M","A",1,"Black",NA,20,234,234,0,0.7234,0.7234,"Y","",50,"N",105.614323627769,2112.28647255539
"13","BudDav","GH","Jacob5",NA,"Jacob","M","A",1,"Black",NA,5,239,239,0,0.512,0.512,"N","",47,"N",105.614323627769,528.071618138847
"14","BudDav","GH","PCD78",NA,"PCD","F","A",1,"Black",NA,14,234,241,7,0.2789,0.6128,"Y","",48,"N",105.614323627769,1478.60053078877
"15","BudDav","GH","Jacob12",NA,"Jacob","M","A",1,"White",NA,4,235,235,0,0.6428,0.6428,"Y","",49,"N",105.614323627769,422.457294511078
"16","BudDav","GH","VH24","VH",NA,"F","A",1,"Black",NA,27,251,251,0,NA,NA,"","",50,"N",105.614323627769,2851.58673794978
